Date,INTU,VMW,CA,CRM,ADBE,ADSK,PYPL,TWTR,NVDA,RHT,BABA,INFY,AKAM,FB,CTSH,MSFT,SAP,YHOO,EBAY,NTES,BIDU,CHKP,GOOGL
2016-03-02,,,,,,,,,,,,,,,,,,,,,190.880005,,
2016-04-01,100.01745600000001,56.91,28.726763000000002,75.800003,94.220001,59.82,39.18,14.62,35.275387,73.370003,76.940002,18.403969,50.990002000000004,117.58000200000001,58.369999,48.592009999999995,77.304817,36.599998,24.43,139.117416,194.300003,82.870003,707.880005
2016-05-02,105.73755600000001,60.560001,31.562272999999998,83.709999,99.470001,58.27,37.790001000000004,15.22,46.505657,77.459999,82.0,19.030487,54.580002,118.809998,61.439999,52.003006,81.07,37.939999,24.459999,176.612564,178.53999299999998,84.970001,748.849976
2016-06-01,110.644745,57.220001,32.060318,79.410004,95.790001,54.139998999999996,36.509997999999996,16.91,46.794323,72.599998,79.529999,17.664881,55.93,114.279999,57.240002000000004,50.207428,75.019997,37.560001,23.41,191.886429,165.149994,79.68,703.530029
2016-07-01,110.31978600000001,72.980003,33.83765,81.800003,97.860001,59.450001,37.240002000000004,16.639999,56.838032,75.290001,82.480003,16.259607,50.529999,123.940002,57.490002000000004,55.613781,87.389999,38.189999,31.16,202.860168,159.600006,76.879997,791.340027
2016-08-01,110.77700800000001,73.33000200000001,33.364719,79.41999799999999,102.309998,67.400002,37.150002,19.209999,61.171101,72.980003,97.190002,15.695518,54.900002,126.120003,57.439999,56.730499,87.970001,42.75,32.16,211.26391600000002,171.070007,76.739998,789.849976
2016-09-01,109.34571100000001,73.349998,32.548065,71.33000200000001,108.540001,72.33000200000001,40.970001,23.049999,68.331329,80.83000200000001,105.790001,15.616347,52.990002000000004,128.270004,47.709998999999996,56.868720999999994,91.410004,43.099998,32.900002,239.977951,182.070007,77.610001,804.0599980000001
2016-10-03,108.420425,78.599998,30.245693,75.160004,107.510002,72.279999,41.66,17.950001,70.964066,77.449997,101.690002,15.26,69.470001,130.990005,51.349998,59.15926700000001,87.839996,41.549999,28.51,256.133942,176.860001,84.559998,809.900024
2016-11-01,113.345909,81.139999,31.704119,72.0,102.809998,72.610001,39.279999,18.49,92.083786,79.110001,94.019997,14.48,66.699997,118.41999799999999,55.080002,59.896873,83.220001,41.02,27.809998999999998,224.100006,166.949997,82.33000200000001,775.880005
2016-12-01,114.273178,78.730003,31.51564,68.459999,102.949997,74.010002,39.470001,16.299999,106.605453,69.699997,87.809998,14.83,66.68,115.050003,56.029999,61.765544999999996,86.43,38.669998,29.690001000000002,215.33999599999999,164.41000400000001,84.459999,792.450012
2017-01-03,118.58000200000001,87.540001,31.019644,79.099998,113.379997,81.339996,39.779999,17.620001000000002,109.042381,75.879997,101.309998,13.77,68.589996,130.320007,52.59,64.26042199999999,91.510002,44.07,31.83,253.899994,175.070007,98.769997,820.1900019999999
2017-02-01,125.440002,89.889999,32.27,81.349998,118.339996,86.300003,42.0,15.77,101.480003,82.809998,102.900002,15.14,62.599998,135.53999299999998,59.27,63.98,93.18,45.66,33.900002,305.059998,174.130005,98.910004,844.929993
